3492000048801852951|OF 1|EXITOSO
3492000048801853448|OF 1|EXITOSO
3492000048801856428|OF 1|EXITOSO
3492000048801856760|OF 1|EXITOSO
3492000048801860555|OF 1|EXITOSO
3492000048801861473|OF 1|EXITOSO
3492000048802035121|OF 1|EXITOSO
3492000048802035737|OF 1|EXITOSO
3492000048802036021|OF 1|EXITOSO
3492000048802036274|OF 1|EXITOSO
3492000048802036559|OF 1|EXITOSO
3492000048802036781|OF 1|EXITOSO
3492000048802037138|OF 1|EXITOSO
3492000048802038493|OF 1|EXITOSO
3492000048802050737|OF 1|EXITOSO
3492000048802051059|OF 1|EXITOSO
3492000048802052775|OF 1|EXITOSO
3492000048802053277|OF 1|EXITOSO
3492000048802053858|OF 1|EXITOSO
3492000048802145351|OF 1|EXITOSO
3492000048802145921|OF 1|EXITOSO
3492000048802147175|OF 1|EXITOSO
3492000048802148229|OF 1|EXITOSO
3492000048802155052|OF 1|EXITOSO
3492000048802157370|OF 1|EXITOSO
3492000048802175293|OF 1|EXITOSO
3492000048802176434|OF 1|EXITOSO
3492000048802177553|OF 1|EXITOSO
3492000048802185684|OF 1|EXITOSO
3492000048802232112|OF 1|EXITOSO
3492000048802232933|OF 1|EXITOSO
3492000048802304429|OF 1|EXITOSO
3492000048802305036|OF 1|EXITOSO
3492000048802305862|OF 1|EXITOSO
3492000048802306999|OF 1|EXITOSO
3492000048802308025|OF 1|EXITOSO
3492000048802361715|OF 1|EXITOSO
3492000048802362408|OF 1|EXITOSO
3492000048802364899|OF 1|EXITOSO
3492000048802366172|OF 1|EXITOSO
3492000048802366595|OF 1|EXITOSO
3492000048802366791|OF 1|EXITOSO
3492000048802367825|OF 1|EXITOSO
3492000048802377567|OF 1|EXITOSO
3492000048802399301|OF 1|EXITOSO
3492000048802406783|OF 1|EXITOSO
3492000048802427992|OF 1|EXITOSO
3492000048802434230|OF 1|EXITOSO
3492000048802434751|OF 1|EXITOSO
3492000048802480636|OF 1|EXITOSO
3492000048802480923|OF 1|EXITOSO
3492000048802481454|OF 1|EXITOSO
3492000048802482045|OF 1|EXITOSO
3492000048802482559|OF 1|EXITOSO
3492000048802483297|OF 1|EXITOSO
3492000048802483654|OF 1|EXITOSO
3492000048802558818|OF 1|EXITOSO
3492000048802559428|OF 1|EXITOSO
3492000048802560227|OF 1|EXITOSO
3492000048802561126|OF 1|EXITOSO
3492000048802567953|OF 1|EXITOSO
3492000048802630190|OF 1|EXITOSO
3492000048802630878|OF 1|EXITOSO
3492000048802631734|OF 1|EXITOSO
3492000048802632704|OF 1|EXITOSO
3492000048802644037|OF 1|EXITOSO
3492000048802644520|OF 1|EXITOSO
3492000048802647058|OF 1|EXITOSO
3492000048802650877|OF 1|EXITOSO
3492000048802651185|OF 1|EXITOSO
3492000048802656948|OF 1|EXITOSO
3492000048802657050|OF 1|EXITOSO
3492000048802657158|OF 1|EXITOSO
3492000048802657266|OF 1|EXITOSO
3492000048802657393|OF 1|EXITOSO
3492000048802657532|OF 1|EXITOSO
3492000048802657784|OF 1|EXITOSO
3492000048802658069|OF 1|EXITOSO
3492000048802658208|OF 1|EXITOSO
3492000048802658424|OF 1|EXITOSO
3492000048802658596|OF 1|EXITOSO
3492000048802659523|OF 1|EXITOSO
3492000048802660059|OF 1|EXITOSO
3492000048802711862|OF 1|EXITOSO
3492000048802712512|OF 1|EXITOSO
3492000048802712805|OF 1|EXITOSO
3492000048802713872|OF 1|EXITOSO
3492000048802715668|OF 1|EXITOSO
3492000048802751489|OF 1|EXITOSO
3492000048803144321|OF 1|EXITOSO
3492000048803756820|OF 1|EXITOSO
3492000048803757222|OF 1|EXITOSO
3492000048803757718|OF 1|EXITOSO
3492000048803758227|OF 1|EXITOSO
3492000048803758422|OF 1|EXITOSO
3492000048803759432|OF 1|EXITOSO
3492000048803825606|OF 1|EXITOSO
3492000048803837295|OF 1|EXITOSO
3492000048803837610|OF 1|EXITOSO
3492000048803838604|OF 1|EXITOSO
3492000048803839537|OF 1|EXITOSO
3492000048803840250|OF 1|EXITOSO
3492000048803909773|OF 1|EXITOSO
3492000048803910757|OF 1|EXITOSO
3492000048803911349|OF 1|EXITOSO
3492000048803911658|OF 1|EXITOSO
3492000048803912701|OF 1|EXITOSO
3492000048803913222|OF 1|EXITOSO
3492000048803913968|OF 1|EXITOSO
3492000048803922191|OF 1|EXITOSO
3492000048803922618|OF 1|EXITOSO
3492000048803955219|OF 1|EXITOSO
3492000048803979279|OF 1|EXITOSO
3492000048803979997|OF 1|EXITOSO
3492000048803980465|OF 1|EXITOSO
3492000048803981048|OF 1|EXITOSO
3492000048803981533|OF 1|EXITOSO
3492000048803982187|OF 1|EXITOSO
3492000048804030483|OF 1|EXITOSO
3492000048804030992|OF 1|EXITOSO
3492000048804032649|OF 1|EXITOSO
3492000048804033515|OF 1|EXITOSO
3492000048804033940|OF 1|EXITOSO
3492000048804141734|OF 1|EXITOSO
3492000048804142691|OF 1|EXITOSO
3492000048804143299|OF 1|EXITOSO
3492000048804143820|OF 1|EXITOSO
3492000048804144366|OF 1|EXITOSO
3492000048804144785|OF 1|EXITOSO
3492000048804145526|OF 1|EXITOSO
3492000048804193522|OF 1|EXITOSO
3492000048804194175|OF 1|EXITOSO
3492000048804194584|OF 1|EXITOSO
3492000048804194845|OF 1|EXITOSO
3492000048804195310|OF 1|EXITOSO
3492000048804195913|OF 1|EXITOSO
3492000048804196614|OF 1|EXITOSO
3492000048804197068|OF 1|EXITOSO
3492000048804219406|OF 1|EXITOSO
3492000048804220029|OF 1|EXITOSO
3492000048804220654|OF 1|EXITOSO
3492000048804221250|OF 1|EXITOSO
3492000048804221677|OF 1|EXITOSO
3492000048804222156|OF 1|EXITOSO
3492000048804222742|OF 1|EXITOSO
3492000048804293690|OF 1|EXITOSO
3492000048804294348|OF 1|EXITOSO
3492000048804295666|OF 1|EXITOSO
3492000048804304926|OF 1|EXITOSO
3492000048804305402|OF 1|EXITOSO
3492000048804306344|OF 1|EXITOSO
3492000048804306859|OF 1|EXITOSO
3492000048804307608|OF 1|EXITOSO
3492000048804308182|OF 1|EXITOSO
3492000048804308839|OF 1|EXITOSO
3492000048804362415|OF 1|EXITOSO
3492000048804364735|OF 1|EXITOSO
3492000048804369572|OF 1|EXITOSO
3492000048804370139|OF 1|EXITOSO
3492000048804370758|OF 1|EXITOSO
3492000048804373598|OF 1|EXITOSO
3492000048804374676|OF 1|EXITOSO
3492000048804375234|OF 1|EXITOSO
3492000048804376142|OF 1|EXITOSO
3492000048804476921|OF 1|EXITOSO
3492000048804477596|OF 1|EXITOSO
3492000048804478247|OF 1|EXITOSO
3492000048804478825|OF 1|EXITOSO
3492000048804479751|OF 1|EXITOSO
3492000048804591092|OF 1|EXITOSO
3492000048804591945|OF 1|EXITOSO
3492000048804678609|OF 1|EXITOSO
3492000048804679062|OF 1|EXITOSO
3492000048804679649|OF 1|EXITOSO
3492000048804682118|OF 1|EXITOSO
3492000048804704454|OF 1|EXITOSO
3492000048804705263|OF 1|EXITOSO
3492000048804705790|OF 1|EXITOSO
3492000048804706470|OF 1|EXITOSO
3492000048804706917|OF 1|EXITOSO
3492000048804707382|OF 1|EXITOSO
3492000048804707762|OF 1|EXITOSO
3492000048804708250|OF 1|EXITOSO
3492000048804773016|OF 1|EXITOSO
3492000048804776345|OF 1|EXITOSO
3492000048804893413|OF 1|EXITOSO
3492000048804893983|OF 1|EXITOSO
3492000048804894560|OF 1|EXITOSO
3492000048804895145|OF 1|EXITOSO
3492000048804895636|OF 1|EXITOSO
3492000048804896580|OF 1|EXITOSO
3492000048804896954|OF 1|EXITOSO
3492000048804940511|OF 1|EXITOSO
3492000048804941017|OF 1|EXITOSO
3492000048804941491|OF 1|EXITOSO
3492000048804941838|OF 1|EXITOSO
3492000048804942338|OF 1|EXITOSO
3492000048804943054|OF 1|EXITOSO
3492000048804943802|OF 1|EXITOSO
3492000048804944402|OF 1|EXITOSO
3492000048805172608|OF 1|EXITOSO
3492000048805360702|OF 1|EXITOSO
3492000048805417308|OF 1|EXITOSO
3492000048805419041|OF 1|EXITOSO
3492000048805420342|OF 1|EXITOSO
3492000048805420872|OF 1|EXITOSO
3492000048805459964|OF 1|EXITOSO
3492000048805460484|OF 1|EXITOSO
3492000048805462446|OF 1|EXITOSO
3492000048805547192|OF 1|EXITOSO
3492000048805634495|OF 1|EXITOSO
3492000048805672082|OF 1|EXITOSO
3492000048805721083|OF 1|EXITOSO
3492000048805782227|OF 1|EXITOSO
3492000048805783149|OF 1|EXITOSO
3492000048805783916|OF 1|EXITOSO
3492000048805894698|OF 1|EXITOSO
3492000048805895875|OF 1|EXITOSO
3492000048807106408|OF 1|EXITOSO
3492000048807848084|OF 1|EXITOSO
3492000048808924897|OF 1|EXITOSO
3492000048809029430|OF 1|EXITOSO
3492000048811095985|OF 1|EXITOSO
3492000048811096309|OF 1|EXITOSO
3492000048811097212|OF 1|EXITOSO
3492000048811097842|OF 1|EXITOSO
3492000048811506564|OF 1|EXITOSO
3492000048811880446|OF 1|EXITOSO
